year	firm	evtdate
2006	000002	20070320
2006	000004	20070427
2006	000005	20070430
2006	000006	20070324
2006	000007	20070420
2006	000008	20070329
2006	000009	20070418
2006	000010	20070213
2006	000011	20070428
2006	000012	20070320
2006	000014	20070424
2006	000016	20070419
2006	000017	20070428
2006	000018	20070210
2006	000019	20070414
2006	000020	20070420
2006	000021	20070423
2006	000022	20070419
2006	000023	20070418
2006	000024	20070320
2006	000025	20070330
2006	000026	20070426
2006	000027	20070417
2006	000028	20070330
2006	000029	20070420
2006	000030	20070428
2006	000031	20070210
2006	000032	20070407
2006	000033	20070420
2006	000034	20070428
2006	000035	20070430
2006	000036	20070427
2006	000037	20070320
2006	000038	20070428
2006	000039	20070317
2006	000040	20070420
2006	000042	20070426
2006	000043	20070321
2006	000045	20070421
2006	000046	20070420
2006	000048	20070425
2006	000049	20070213
2006	000050	20070215
2006	000055	20070320
2006	000056	20070411
2006	000058	20070426
2006	000059	20070320
2006	000060	20070331
2006	000061	20070424
2006	000062	20070302
2006	000063	20070419
2006	000065	20070213
2006	000066	20070423
2006	000068	20070209
2006	000069	20070419
2006	000070	20070413
2006	000078	20070426
2006	000088	20070428
2006	000089	20070306
2006	000090	20070424
2006	000096	20070424
2006	000099	20070430
2006	000100	20070430
2006	000150	20070403
2006	000151	20070411
2006	000153	20070417
2006	000155	20070213
2006	000156	20070214
2006	000157	20070228
2006	000158	20070323
2006	000159	20070327
2006	000301	20070309
2006	000400	20070327
2006	000401	20070315
2006	000402	20070212
2006	000403	20070411
2006	000404	20070417
2006	000407	20070404
2006	000408	20070430
2006	000409	20070427
2006	000410	20070213
2006	000411	20070421
2006	000413	20070410
2006	000415	20070403
2006	000416	20070421
2006	000417	20070403
2006	000418	20070418
2006	000419	20070424
2006	000420	20070330
2006	000421	20070310
2006	000422	20070320
2006	000423	20070412
2006	000425	20070328
2006	000426	20070419
2006	000428	20070209
2006	000429	20070327
2006	000430	20070309
2006	000488	20070410
2006	000498	20070419
2006	000501	20070418
2006	000502	20070423
2006	000503	20070418
2006	000504	20070427
2006	000505	20070420
2006	000506	20070423
2006	000507	20070403
2006	000509	20070425
2006	000510	20070412
2006	000511	20070210
2006	000513	20070326
2006	000514	20070120
2006	000515	20070214
2006	000516	20070331
2006	000517	20070430
2006	000518	20070216
2006	000519	20070331
2006	000520	20070412
2006	000521	20070418
2006	000522	20070331
2006	000523	20070421
2006	000524	20070421
2006	000525	20070331
2006	000526	20070413
2006	000527	20070317
2006	000528	20070331
2006	000529	20070428
2006	000530	20070426
2006	000531	20070411
2006	000532	20070420
2006	000533	20070414
2006	000534	20070330
2006	000536	20070213
2006	000537	20070419
2006	000538	20070326
2006	000539	20070420
2006	000540	20070418
2006	000541	20070329
2006	000543	20070413
2006	000544	20070420
2006	000545	20070413
2006	000546	20070119
2006	000547	20070406
2006	000548	20070417
2006	000549	20070403
2006	000550	20070406
2006	000551	20070411
2006	000552	20070330
2006	000553	20070331
2006	000554	20070320
2006	000555	20070403
2006	000557	20070427
2006	000558	20070213
2006	000559	20070330
2006	000560	20070330
2006	000561	20070427
2006	000563	20070417
2006	000564	20070322
2006	000565	20070309
2006	000566	20070317
2006	000567	20070331
2006	000568	20070329
2006	000569	20070416
2006	000570	20070320
2006	000571	20070316
2006	000572	20070324
2006	000573	20070413
2006	000576	20070407
2006	000578	20070125
2006	000581	20070419
2006	000582	20070427
2006	000583	20070423
2006	000584	20070409
2006	000585	20070301
2006	000586	20070412
2006	000587	20070430
2006	000589	20070313
2006	000590	20070428
2006	000591	20070316
2006	000592	20070430
2006	000593	20070426
2006	000594	20070424
2006	000595	20070414
2006	000596	20070310
2006	000597	20070428
2006	000598	20070329
2006	000599	20070407
2006	000600	20070327
2006	000601	20070430
2006	000602	20070330
2006	000603	20070430
2006	000605	20070427
2006	000606	20070410
2006	000607	20070421
2006	000608	20070210
2006	000609	20070330
2006	000610	20070411
2006	000611	20070210
2006	000612	20070207
2006	000613	20070414
2006	000615	20070419
2006	000616	20070313
2006	000617	20070317
2006	000619	20070330
2006	000620	20070430
2006	000622	20070428
2006	000623	20070412
2006	000625	20070412
2006	000626	20070427
2006	000627	20070228
2006	000628	20070308
2006	000629	20070402
2006	000630	20070314
2006	000631	20070430
2006	000632	20070328
2006	000633	20070418
2006	000635	20070410
2006	000636	20070425
2006	000637	20070428
2006	000638	20070412
2006	000639	20070327
2006	000650	20070119
2006	000651	20070412
2006	000652	20070425
2006	000655	20070205
2006	000656	20070418
2006	000657	20070419
2006	000659	20070327
2006	000661	20070313
2006	000662	20070328
2006	000663	20070411
2006	000665	20070418
2006	000666	20070419
2006	000667	20070308
2006	000668	20070406
2006	000669	20070301
2006	000670	20070430
2006	000671	20070315
2006	000672	20070424
2006	000673	20070404
2006	000676	20070331
2006	000677	20070328
2006	000678	20070310
2006	000679	20070328
2006	000680	20070327
2006	000681	20070430
2006	000682	20070413
2006	000683	20070209
2006	000685	20070331
2006	000686	20070209
2006	000687	20070419
2006	000688	20070427
2006	000690	20070119
2006	000691	20070428
2006	000692	20070416
2006	000693	20070430
2006	000695	20070315
2006	000697	20070330
2006	000698	20070331
2006	000699	20070216
2006	000700	20070421
2006	000701	20070407
2006	000702	20070414
2006	000703	20070302
2006	000705	20070329
2006	000707	20070421
2006	000708	20070313
2006	000709	20070330
2006	000710	20070310
2006	000711	20070411
2006	000712	20070428
2006	000713	20070406
2006	000715	20070327
2006	000716	20070430
2006	000717	20070413
2006	000718	20070315
2006	000719	20070428
2006	000720	20070413
2006	000721	20070428
2006	000722	20070420
2006	000723	20070410
2006	000725	20070427
2006	000726	20070328
2006	000727	20070414
2006	000728	20070327
2006	000729	20070412
2006	000731	20070124
2006	000732	20070418
2006	000733	20070421
2006	000735	20070426
2006	000736	20070430
2006	000737	20070406
2006	000738	20070414
2006	000739	20070419
2006	000748	20070322
2006	000750	20070213
2006	000751	20070131
2006	000752	20070430
2006	000753	20070324
2006	000755	20070308
2006	000756	20070326
2006	000757	20070424
2006	000758	20070421
2006	000759	20070213
2006	000760	20070322
2006	000761	20070426
2006	000762	20070420
2006	000766	20070321
2006	000767	20070329
2006	000768	20070330
2006	000776	20070316
2006	000777	20070406
2006	000778	20070306
2006	000779	20070317
2006	000780	20070210
2006	000782	20070412
2006	000783	20070320
2006	000785	20070427
2006	000786	20070410
2006	000787	20070430
2006	000788	20070331
2006	000789	20070331
2006	000790	20070418
2006	000791	20070213
2006	000792	20070210
2006	000793	20070419
2006	000795	20070428
2006	000796	20070412
2006	000797	20070421
2006	000798	20070331
2006	000799	20070426
2006	000800	20070430
2006	000801	20070406
2006	000802	20070326
2006	000803	20070413
2006	000805	20070427
2006	000806	20070428
2006	000807	20070130
2006	000809	20070316
2006	000810	20070313
2006	000811	20070411
2006	000812	20070425
2006	000813	20070323
2006	000815	20070410
2006	000816	20070418
2006	000818	20070329
2006	000819	20070414
2006	000820	20070426
2006	000821	20070410
2006	000822	20070213
2006	000823	20070209
2006	000825	20070331
2006	000826	20070417
2006	000828	20070308
2006	000829	20070207
2006	000830	20070316
2006	000831	20070414
2006	000833	20070313
2006	000835	20070216
2006	000836	20070315
2006	000837	20070331
2006	000838	20070323
2006	000839	20070323
2006	000848	20070421
2006	000850	20070307
2006	000851	20070418
2006	000852	20070212
2006	000856	20070418
2006	000858	20070326
2006	000859	20070302
2006	000860	20070210
2006	000861	20070310
2006	000862	20070330
2006	000863	20070421
2006	000868	20070417
2006	000869	20070317
2006	000875	20070330
2006	000876	20070421
2006	000877	20070328
2006	000878	20070331
2006	000880	20070210
2006	000881	20070330
2006	000882	20070428
2006	000883	20070407
2006	000885	20070419
2006	000886	20070426
2006	000887	20070412
2006	000888	20070206
2006	000889	20070419
2006	000890	20070327
2006	000892	20070430
2006	000893	20070330
2006	000895	20070307
2006	000897	20070215
2006	000898	20070411
2006	000899	20070414
2006	000900	20070418
2006	000901	20070303
2006	000902	20070410
2006	000903	20070309
2006	000905	20070407
2006	000906	20070412
2006	000908	20070420
2006	000909	20070317
2006	000910	20070403
2006	000911	20070323
2006	000912	20070321
2006	000913	20070426
2006	000915	20070316
2006	000916	20070310
2006	000917	20070216
2006	000918	20070213
2006	000919	20070320
2006	000920	20070420
2006	000921	20070427
2006	000922	20070417
2006	000923	20070430
2006	000925	20070430
2006	000926	20070410
2006	000927	20070427
2006	000928	20070317
2006	000929	20070403
2006	000930	20070430
2006	000931	20070425
2006	000932	20070320
2006	000933	20070316
2006	000935	20070420
2006	000936	20070306
2006	000937	20070214
2006	000938	20070406
2006	000939	20070215
2006	000948	20070331
2006	000949	20070315
2006	000950	20070309
2006	000951	20070421
2006	000952	20070323
2006	000953	20070324
2006	000955	20070417
2006	000957	20070416
2006	000958	20070324
2006	000959	20070412
2006	000960	20070213
2006	000961	20070419
2006	000962	20070327
2006	000963	20070214
2006	000965	20070413
2006	000966	20070315
2006	000967	20070427
2006	000968	20070317
2006	000969	20070331
2006	000970	20070324
2006	000971	20070430
2006	000972	20070411
2006	000973	20070428
2006	000975	20070412
2006	000976	20070319
2006	000977	20070321
2006	000978	20070315
2006	000979	20070405
2006	000980	20070213
2006	000981	20070427
2006	000982	20070412
2006	000983	20070308
2006	000985	20070320
2006	000987	20070328
2006	000988	20070131
2006	000989	20070303
2006	000990	20070313
2006	000993	20070320
2006	000995	20070411
2006	000996	20070412
2006	000997	20070413
2006	000998	20070319
2006	000999	20070428
2006	001696	20070307
2006	001896	20070412
2006	002001	20070327
2006	002002	20070421
2006	002003	20070414
2006	002004	20070409
2006	002005	20070331
2006	002006	20070406
2006	002007	20070322
2006	002008	20070403
2006	002009	20070329
2006	002010	20070407
2006	002011	20070403
2006	002012	20070313
2006	002013	20070201
2006	002014	20070120
2006	002015	20070206
2006	002016	20070426
2006	002017	20070321
2006	002018	20070328
2006	002019	20070326
2006	002020	20070403
2006	002021	20070327
2006	002022	20070316
2006	002023	20070327
2006	002024	20070310
2006	002025	20070228
2006	002026	20070320
2006	002027	20070316
2006	002028	20070208
2006	002029	20070410
2006	002030	20070322
2006	002031	20070328
2006	002032	20070308
2006	002033	20070209
2006	002034	20070412
2006	002035	20070213
2006	002036	20070316
2006	002037	20070328
2006	002038	20070306
2006	002039	20070326
2006	002040	20070330
2006	002041	20070418
2006	002042	20070403
2006	002043	20070420
2006	002044	20070329
2006	002045	20070426
2006	002046	20070409
2006	002047	20070414
2006	002048	20070418
2006	002049	20070406
2006	002050	20070411
2006	002051	20070404
2006	002052	20070424
2006	002053	20070329
2006	002054	20070418
2006	002055	20070421
2006	002056	20070308
2006	002057	20070411
2006	002058	20070210
2006	002059	20070410
2006	002060	20070328
2006	002061	20070330
2006	002062	20070316
2006	002063	20070426
2006	002064	20070313
2006	002065	20070418
2006	002066	20070323
2006	002067	20070416
2006	002068	20070306
2006	002069	20070323
2006	002070	20070315
2006	002071	20070425
2006	002072	20070423
2006	002073	20070420
2006	002074	20070410
